DateTime,MpKrakAlKras,MpKrakBujaka,MpKrakBulwar,MpKrakOsPias,MpKrakSwoszo,MpKrakWadow,MpKrakZloRog
2019-01-09 20:00:00,104.399,78.5093,90.9873,88.2623,95.641,99.2346,79.0115
2019-01-09 21:00:00,117.895,85.9377,66.4337,82.2478,92.3022,91.5224,87.6407
2019-01-09 22:00:00,122.805,88.2044,69.0288,88.6021,93.0693,108.079,93.4337
2019-01-09 23:00:00,117.193,89.5812,71.6602,96.9227,84.5481,118.12,102.574
2019-01-10 00:00:00,122.075,90.016,76.9145,121.538,88.6942,114.595,104.725
2019-01-10 01:00:00,115.907,96.9288,77.5118,102.776,100.6,108.018,107.718
2019-01-10 02:00:00,118.826,109.211,77.798,102.141,108.077,94.3378,94.1242
2019-01-10 03:00:00,110.516,103.988,74.7737,95.0773,107.2,92.4825,92.3105
2019-01-10 04:00:00,107.635,102.91,72.0306,99.0562,113.074,83.7029,92.7296
2019-01-10 05:00:00,107.852,112.146,72.4077,77.7225,115.7,86.8043,90.571
2019-01-10 06:00:00,115.764,112.204,80.1928,75.8844,111.523,93.1197,87.8728
2019-01-10 07:00:00,104.574,111.8,76.7815,80.0183,117.6,95.2748,67.7966
2019-01-10 08:00:00,76.1617,72.4195,46.2594,57.6199,86.9079,75.7946,58.7844
2019-01-10 09:00:00,77.7947,54.3028,46.5837,66.8816,54.0895,57.4106,60.2395
2019-01-10 10:00:00,80.6447,60.2508,50.2318,65.6412,68.26,65.0284,59.7087
2019-01-10 11:00:00,85.6518,63.6297,51.7698,67.167,66.1867,64.9254,57.0016
2019-01-10 12:00:00,81.8375,72.758,54.1082,64.3407,57.42,66.284,64.2396
2019-01-10 13:00:00,84.0075,75.4798,50.3083,77.0248,63.1441,79.4676,68.6204
2019-01-10 14:00:00,76.1534,64.9477,48.337,55.8611,73.97,85.4269,60.9026
2019-01-10 15:00:00,76.0221,52.6401,40.6743,53.1383,63.2331,58.2164,56.4875
2019-01-10 16:00:00,78.6411,58.7132,46.9307,53.259,64.18,62.1237,62.0649
2019-01-10 17:00:00,83.8504,63.4249,48.2309,66.564,70.9124,72.9836,73.9749
2019-01-10 18:00:00,90.0846,73.1847,42.0556,58.5968,78.87,64.41,76.1213
2019-01-10 19:00:00,78.1535,56.7258,42.86,54.1556,62.5075,,59.737
2019-01-10 20:00:00,76.1276,56.4247,55.7757,60.8412,56.9315,,57.1
2019-01-10 21:00:00,81.1507,64.5723,49.6196,70.0335,68.24,,74.8889
2019-01-10 22:00:00,84.0448,71.3665,53.2733,67.3166,73.1736,,82.292
2019-01-10 23:00:00,85.3991,72.8903,56.2202,71.5867,81.63,,70.8305
2019-01-11 00:00:00,89.2604,70.9921,58.9584,78.2777,79.9116,,67.1413
2019-01-11 01:00:00,85.4275,78.7443,58.3122,80.8859,77.17,,71.6008
2019-01-11 02:00:00,81.7557,80.1387,60.6168,79.6548,84.4156,,74.1548
2019-01-11 03:00:00,74.752,83.9834,52.1439,66.3909,86.63,,63.9735
2019-01-11 04:00:00,68.8524,79.6007,53.1732,66.1864,84.8301,,62.4945
2019-01-11 05:00:00,67.3169,64.692,51.5427,64.1236,81.65,,53.8811
2019-01-11 06:00:00,62.2036,61.7753,47.091,56.2521,64.3851,,45.619
2019-01-11 07:00:00,59.0925,59.8697,39.5089,51.9452,43.7132,,49.6219
2019-01-11 08:00:00,53.3154,69.4001,37.7231,44.5478,60.39,,35.357
2019-01-11 09:00:00,56.2043,56.0265,35.2256,49.5804,53.0387,,55.184
2019-01-11 10:00:00,68.0847,68.3592,43.0773,57.2085,68.77,,71.5625
2019-01-11 11:00:00,76.3307,69.8392,51.9248,71.3785,72.8331,,68.2594
2019-01-11 12:00:00,76.4904,70.8321,54.7391,68.2318,67.25,,67.4595
2019-01-11 13:00:00,76.8929,75.8785,53.0475,64.8038,68.3915,46.3728,69.1612
2019-01-11 14:00:00,66.0237,70.6452,53.322,63.1122,71.22,54.0749,55.1126
2019-01-11 15:00:00,74.0204,86.2476,53.3366,57.9977,90.7807,48.4904,73.8065
2019-01-11 16:00:00,91.4751,100.033,56.8906,73.7371,96.42,66.612,83.3325
